"Term"	"Overlap"	"P.value"	"Adjusted.P.value"	"Old.P.value"	"Old.Adjusted.P.value"	"Z.score"	"Combined.Score"	"Genes"
"1"	"Oocyte meiosis_Homo sapiens_hsa04114"	"5/123"	0.00011957348772621	0.00394592509496493	9.62789728727123e-06	0.000317720610479951	-1.88375055278571	17.0132427165726	"CCNB1;SGOL1;FBXO5;CDC25C;AURKA"
"2"	"One carbon pool by folate_Homo sapiens_hsa00670"	"2/20"	0.00272594550504901	0.0449781008333086	0.00123691032010435	0.0202803291531927	-1.78869267420057	10.5621228064031	"DHFR;TYMS"
"3"	"Pyrimidine metabolism_Homo sapiens_hsa00240"	"3/105"	0.0080439042767092	0.0663622102828509	0.00205228281989959	0.0202803291531927	-1.70749797085945	8.23499072115859	"RRM2;TK1;TYMS"
"4"	"Homologous recombination_Homo sapiens_hsa03440"	"2/29"	0.00569424037086691	0.062636644079536	0.00245822171553851	0.0202803291531927	-1.48644036090131	7.68236983059206	"EME1;RAD54L"
"5"	"Cell cycle_Homo sapiens_hsa04110"	"3/124"	0.0126256679382253	0.0833294083922869	0.00325723560412353	0.0214977549872153	-1.63207906165962	7.13548784695636	"CCNB1;CDC6;CDC25C"
"6"	"p53 signaling pathway_Homo sapiens_hsa04115"	"2/69"	0.0297683092127772	0.163725700670274	0.012411886700399	0.0682653768521942	-1.59881495460922	5.61873282297719	"CCNB1;RRM2"
"7"	"Progesterone-mediated oocyte maturation_Homo sapiens_hsa04914"	"2/98"	0.0561295993793538	0.231534597439834	0.0237295522890914	0.11186788936286	-1.74446795016999	5.0242281656038	"CCNB1;CDC25C"
"8"	"Renin-angiotensin system_Homo sapiens_hsa04614"	"1/23"	0.086000209296194	0.315334100752711	0.0565647766120248	0.207404180910758	-1.12017093243674	2.74823358153033	"CMA1"
"9"	"Fat digestion and absorption_Homo sapiens_hsa04975"	"1/41"	0.14817430939561	0.377977643141405	0.0969970940368801	0.23585345895168	-1.37648364103648	2.62821097022467	"PNLIPRP2"
"10"	"Drug metabolism - other enzymes_Homo sapiens_hsa00983"	"1/46"	0.164691086146757	0.377977643141405	0.107935435727886	0.23585345895168	-1.37808796908024	2.48563489659853	"TK1"
"11"	"Hedgehog signaling pathway_Homo sapiens_hsa04340"	"1/50"	0.177676532870569	0.377977643141405	0.116596192872809	0.23585345895168	-1.31437555419931	2.27096574439937	"WNT8B"
"12"	"Glutathione metabolism_Homo sapiens_hsa00480"	"1/52"	0.184094321619344	0.377977643141405	0.120896835056794	0.23585345895168	-1.33727895364335	2.26308658130253	"RRM2"
"13"	"Regulation of lipolysis in adipocytes_Homo sapiens_hsa04923"	"1/56"	0.196781924764443	0.377977643141405	0.129439071927483	0.23585345895168	-1.32139245582601	2.14813372901094	"TSHR"
"14"	"Autoimmune thyroid disease_Homo sapiens_hsa05320"	"1/53"	0.18728464861111	0.377977643141405	0.123039759316463	0.23585345895168	-1.28001376031781	2.14418386228133	"TSHR"
"15"	"Basal cell carcinoma_Homo sapiens_hsa05217"	"1/55"	0.193628403350804	0.377977643141405	0.127310867184061	0.23585345895168	-1.26271925468551	2.0731506597654	"WNT8B"
"16"	"Fanconi anemia pathway_Homo sapiens_hsa03460"	"1/53"	0.18728464861111	0.377977643141405	0.123039759316463	0.23585345895168	-1.21767941521398	2.03976600289493	"EME1"
"17"	"Glycerolipid metabolism_Homo sapiens_hsa00561"	"1/59"	0.206169623531675	0.377977643141405	0.135794415760058	0.23585345895168	-1.26479769401441	1.99718643028315	"PNLIPRP2"
"18"	"Folate biosynthesis_Homo sapiens_hsa00790"	"1/14"	0.0532541258766013	0.231534597439834	0.0357154525986215	0.147326241969314	-0.663606171516319	1.94614454452321	"DHFR"
"19"	"Thyroid hormone synthesis_Homo sapiens_hsa04918"	"1/71"	0.242649396164386	0.421443688074986	0.160781744692571	0.265289878742742	-1.25478315886203	1.77694572609774	"TSHR"
"20"	"Metabolic pathways_Homo sapiens_hsa01100"	"6/1239"	0.353508839578337	0.530263259367505	0.0648710542127011	0.214074478901914	-1.4900973358022	1.54947292855875	"DHFR;PNLIPRP2;RRM2;TK1;CMBL;TYMS"
