"HGNC.symbol"	"MGI.symbol"	"logFC"	"logCPM"	"LR"	"PValue"	"FDR"	"asc1_count.x"	"asc2_count.x"	"asc3_count.x"	"asc4_count.x"	"neu1_count.x"	"neu2_count.x"	"neu3_count.x"	"neu4_count.x"	"astro1_count.x"	"astro2_count.x"	"endo1_count.x"	"endo2_count.x"	"micro1_count.x"	"micro2_count.x"	"neuron1_count.x"	"neuron2_count.x"	"oligopre1_count.x"	"oligopre2_count.x"	"oligonew1_count.x"	"oligonew2_count.x"	"oligomye1_count.x"	"oligomye2_count.x"	"asc1_count.y"	"asc2_count.y"	"asc3_count.y"	"asc4_count.y"	"neu1_count.y"	"neu2_count.y"	"neu3_count.y"	"neu4_count.y"	"astro1_count.y"	"astro2_count.y"	"endo1_count.y"	"endo2_count.y"	"micro1_count.y"	"micro2_count.y"	"neuron1_count.y"	"neuron2_count.y"	"oligopre1_count.y"	"oligopre2_count.y"	"oligonew1_count.y"	"oligonew2_count.y"	"oligomye1_count.y"	"oligomye2_count.y"	"doid_code"	"doid_name"	"geneId"	"count"	"pubmeds_max"	"score_max"	"score_mean"	"associationType"	"source"
"1"	"AURKA"	"Aurka"	-3.32681985767379	3.69792070689744	14.7732322642847	0.000121244407639585	0.00760808657938393	753	612	1046	1683	26	13	26	91	232	251	312	297	162	19	204	163	420	437	71	123	46	42	527.978376625531	851.46724016359	1263.46659113173	1637.62806345155	20.3264474298556	71.7358189905264	70.0171819457143	41.2833292328752	185.572943918228	229.755833292919	181.521311406093	204.093349654884	119.573435611992	114.862024347801	226.818295526827	253.985024837905	240.20738307811	260.394138951609	175.535331965209	182.771471888037	87.2939193267548	111.67509305707	"DOID:3070"	"malignant glioma"	6790	2	4	0.003656595	0.003412088	"Biomarker|GeneticVariation"	"BeFree|GAD|LHGDN"
"2"	"AURKA"	"Aurka"	-3.32681985767379	3.69792070689744	14.7732322642847	0.000121244407639585	0.00760808657938393	753	612	1046	1683	26	13	26	91	232	251	312	297	162	19	204	163	420	437	71	123	46	42	527.978376625531	851.46724016359	1263.46659113173	1637.62806345155	20.3264474298556	71.7358189905264	70.0171819457143	41.2833292328752	185.572943918228	229.755833292919	181.521311406093	204.093349654884	119.573435611992	114.862024347801	226.818295526827	253.985024837905	240.20738307811	260.394138951609	175.535331965209	182.771471888037	87.2939193267548	111.67509305707	"DOID:1319"	"brain cancer"	6790	3	2	0.002600572	0.00105586	"Biomarker|GeneticVariation"	"BeFree|GAD"
"3"	"AURKA"	"Aurka"	-3.32681985767379	3.69792070689744	14.7732322642847	0.000121244407639585	0.00760808657938393	753	612	1046	1683	26	13	26	91	232	251	312	297	162	19	204	163	420	437	71	123	46	42	527.978376625531	851.46724016359	1263.46659113173	1637.62806345155	20.3264474298556	71.7358189905264	70.0171819457143	41.2833292328752	185.572943918228	229.755833292919	181.521311406093	204.093349654884	119.573435611992	114.862024347801	226.818295526827	253.985024837905	240.20738307811	260.394138951609	175.535331965209	182.771471888037	87.2939193267548	111.67509305707	"DOID:11934"	"head and neck cancer"	6790	2	2	0.002317068	0.001442038	"Biomarker|GeneticVariation"	"BeFree|GAD"
"4"	"AURKB"	"Aurkb"	-3.65889786504683	4.05295723149271	9.86313221306666	0.00168623778708139	0.0387154967269586	1295	782	1613	1810	102	19	20	29	275	449	321	290	130	36	157	54	508	389	50	49	1	6	1420.42719765511	1500.582580402	1458.62896784906	1238.46990572414	43.4399202121716	100.427514165708	64.2111419460401	24.8010229159494	214.534316187268	173.99540278945	209.850367158491	154.561057584012	138.234619236761	86.9856660663213	262.216608209069	192.344307719136	277.695258714563	197.197966386926	202.930188069092	138.413877958152	100.917412283571	84.5721848256244	"DOID:3070"	"malignant glioma"	9212	3	5	0.004839645	0.003021083	"AlteredExpression|Biomarker|GeneticVariation"	"BeFree|GAD|LHGDN"
"5"	"AURKB"	"Aurkb"	-3.65889786504683	4.05295723149271	9.86313221306666	0.00168623778708139	0.0387154967269586	1295	782	1613	1810	102	19	20	29	275	449	321	290	130	36	157	54	508	389	50	49	1	6	1420.42719765511	1500.582580402	1458.62896784906	1238.46990572414	43.4399202121716	100.427514165708	64.2111419460401	24.8010229159494	214.534316187268	173.99540278945	209.850367158491	154.561057584012	138.234619236761	86.9856660663213	262.216608209069	192.344307719136	277.695258714563	197.197966386926	202.930188069092	138.413877958152	100.917412283571	84.5721848256244	"DOID:1319"	"brain cancer"	9212	1	1	0.002317068	0.002317068	"GeneticVariation"	"GAD"
"6"	"CMA1"	"Cma1"	-7.31040956185623	2.71538361041646	10.6317259162768	0.00111163918310083	0.0303731820342071	100	1030	717	1296	2	3	1	2	0	1	5	3	24	10	1	0	0	0	0	0	0	0	582.024771384565	726.225964522951	833.769660004526	836.13440320254	1.38630293115702	3.78539511576222	2.8586321907577	1.30408788966954	4.77918654906911	4.57809044337092	4.67484209456555	4.06674250755304	3.0794562129414	2.2887285534226	5.84140621028385	5.06087875247682	6.18622451072315	5.188586082706	4.52068108476078	3.64188502541601	2.24813982175001	2.22522609746024	"DOID:1686"	"glaucoma"	1215	1	1	0.002317068	0.002317068	"GeneticVariation"	"GAD"
"7"	"DDX4"	"Ddx4"	-7.8124029378985	-1.79064970589813	9.87997115972645	0.00167087557895233	0.0384821095625273	0	18	47	22	0	0	0	0	3	11	0	10	0	0	9	6	1	3	3	0	0	0	3.29465993736881	9.82426586222595	26.9546458988139	64.598561198602	5.1345019443497e-09	3.35050759877961e-08	6.04667850670988e-08	6.59211338988822e-08	2.04028551189847	4.6706845799324	1.99573975571491	4.14899437997946	1.31465257346229	2.33501921693158	2.49375837029783	5.16323752064106	2.64096496610664	5.29352779459349	1.92992678282195	3.71554394577941	0.95975477415335	2.27023239248589	"DOID:1192"	"peripheral nervous system neoplasm"	54514	1	1	0.002600572	0.002600572	"GeneticVariation"	"BeFree|GAD"
"8"	"DHFR"	"Dhfr"	-3.84696338856042	4.3661362828247	13.2871430261732	0.000267232393535817	0.0126033264836685	1292	1088	1320	1824	14	4	18	155	267	374	585	577	74	43	210	194	860	739	631	363	336	307	690.957110560862	1242.7067581263	2056.50723718824	2972.67557163887	18.5438196455276	72.9859957066456	79.4463348299289	52.2407874673903	384.839370871989	531.370142388319	376.437134672827	472.018972107496	247.970230801524	265.648316118652	470.373580920634	587.40645178987	498.139740798209	602.229195701838	364.023468577744	422.706582243116	181.029283069743	258.277708332695	"DOID:2174"	"ocular cancer"	1719	1	3	0.000850514	0.000850514	"Biomarker|GeneticVariation"	"BeFree"
"9"	"DHFR"	"Dhfr"	-3.84696338856042	4.3661362828247	13.2871430261732	0.000267232393535817	0.0126033264836685	1292	1088	1320	1824	14	4	18	155	267	374	585	577	74	43	210	194	860	739	631	363	336	307	690.957110560862	1242.7067581263	2056.50723718824	2972.67557163887	18.5438196455276	72.9859957066456	79.4463348299289	52.2407874673903	384.839370871989	531.370142388319	376.437134672827	472.018972107496	247.970230801524	265.648316118652	470.373580920634	587.40645178987	498.139740798209	602.229195701838	364.023468577744	422.706582243116	181.029283069743	258.277708332695	"DOID:12849"	"autistic disorder"	1719	1	1	0.212806082	0.212806082	"Biomarker|GeneticVariation"	"BeFree|CTD_human|LHGDN"
"10"	"DHFR"	"Dhfr"	-3.84696338856042	4.3661362828247	13.2871430261732	0.000267232393535817	0.0126033264836685	1292	1088	1320	1824	14	4	18	155	267	374	585	577	74	43	210	194	860	739	631	363	336	307	690.957110560862	1242.7067581263	2056.50723718824	2972.67557163887	18.5438196455276	72.9859957066456	79.4463348299289	52.2407874673903	384.839370871989	531.370142388319	376.437134672827	472.018972107496	247.970230801524	265.648316118652	470.373580920634	587.40645178987	498.139740798209	602.229195701838	364.023468577744	422.706582243116	181.029283069743	258.277708332695	"DOID:10941"	"intracranial aneurysm"	1719	1	1	0.002600572	0.002600572	"GeneticVariation"	"BeFree|GAD"
