"Term"	"Overlap"	"P.value"	"Adjusted.P.value"	"Old.P.value"	"Old.Adjusted.P.value"	"Z.score"	"Combined.Score"	"Genes"
"1"	"Cell Cycle, Mitotic_Homo sapiens_R-HSA-69278"	"19/462"	1.07393473410391e-14	1.86864643734081e-12	1.73239343096777e-15	3.01436456988392e-13	-2.47707141403865	79.6746603866082	"GINS1;GINS2;RRM2;NCAPG;CDCA8;CDC6;CDC25C;TYMS;SKA1;AURKB;AURKA;DHFR;CCNB1;SGOL1;CENPH;NUF2;CENPM;FBXO5;SPC24"
"2"	"Cell Cycle_Homo sapiens_R-HSA-1640170"	"20/566"	3.35065442887104e-14	2.91506935311781e-12	3.67625964902625e-15	3.19834589465284e-13	-2.45208823013417	76.0810288677411	"GINS1;GINS2;RRM2;NCAPG;CDCA8;CDC6;CDC25C;TYMS;SKA1;AURKB;AURKA;DHFR;PSMC3IP;CCNB1;SGOL1;CENPH;NUF2;CENPM;FBXO5;SPC24"
"3"	"Mitotic Prometaphase_Homo sapiens_R-HSA-68877"	"10/107"	1.16251973313424e-11	6.74261445217858e-10	1.76983452830055e-11	1.02650402641432e-09	-2.03238359888099	51.1710416514197	"CCNB1;SGOL1;CENPH;NUF2;NCAPG;CDCA8;CENPM;AURKB;SKA1;SPC24"
"4"	"Resolution of Sister Chromatid Cohesion_Homo sapiens_R-HSA-2500257"	"9/99"	1.6937148835449e-10	7.36765974342031e-09	2.62342104935712e-10	1.14118815647035e-08	-2.06442313912972	46.4473047972675	"CCNB1;SGOL1;CENPH;NUF2;CDCA8;CENPM;AURKB;SKA1;SPC24"
"5"	"M Phase_Homo sapiens_R-HSA-68886"	"11/268"	7.16853199213709e-09	1.78189223804551e-07	6.23296964649514e-09	2.16907343698031e-07	-2.39616057167858	44.9365529029165	"CCNB1;SGOL1;CENPH;NUF2;NCAPG;CDCA8;CENPM;FBXO5;SKA1;SPC24;AURKB"
"6"	"E2F mediated regulation of DNA replication_Homo sapiens_R-HSA-113510"	"6/33"	2.94639631279052e-09	1.0253459168511e-07	7.79989370772902e-09	2.26196917524142e-07	-2.06157227663169	40.494810716056	"DHFR;CCNB1;RRM2;CDC6;FBXO5;TYMS"
"7"	"Mitotic Metaphase and Anaphase_Homo sapiens_R-HSA-2555396"	"9/174"	2.52847139127576e-08	4.88837802313313e-07	2.8385882125405e-08	5.48793721091163e-07	-2.28189577182055	39.9173529239517	"SGOL1;CENPH;NUF2;CDCA8;CENPM;FBXO5;AURKB;SKA1;SPC24"
"8"	"G1/S-Specific Transcription_Homo sapiens_R-HSA-69205"	"5/17"	4.72534379577079e-09	1.37034970077353e-07	1.9138781819793e-08	4.30304241182623e-07	-2.06145250089184	39.5187154812454	"DHFR;RRM2;CDC6;FBXO5;TYMS"
"9"	"RHO GTPases Activate Formins_Homo sapiens_R-HSA-5663220"	"8/114"	1.46239390212058e-08	3.18070673711226e-07	1.97841030428792e-08	4.30304241182623e-07	-1.96935997895584	35.5284474367923	"SGOL1;CENPH;NUF2;CDCA8;CENPM;AURKB;SKA1;SPC24"
"10"	"Separation of Sister Chromatids_Homo sapiens_R-HSA-2467813"	"8/162"	2.25822075585338e-07	3.92930411518489e-06	2.630095250624e-07	4.57636573608576e-06	-2.24283417065755	34.3232540524324	"SGOL1;CENPH;NUF2;CDCA8;CENPM;AURKB;SKA1;SPC24"
