geneSymbol	doid_code	doid_name	geneId	count	pubmeds_max	score_max	score_mean	associationType	source
CFH	DOID:10871	age related macular degeneration	3075	1	373	0.39	0.39	Biomarker|GeneticVariation	BeFree|CTD_human|GAD|LHGDN
ARMS2	DOID:10871	age related macular degeneration	387715	1	173	0.348975783	0.348975783	Biomarker|GeneticVariation	BeFree|CTD_human|GAD|LHGDN
APOE	DOID:10871	age related macular degeneration	348	1	49	0.284146264	0.284146264	Biomarker|GeneticVariation	BeFree|CTD_human|GAD|LHGDN
CFB	DOID:10871	age related macular degeneration	629	1	52	0.282728742	0.282728742	Biomarker|GeneticVariation	BeFree|CTD_human|GAD|LHGDN
C3	DOID:10871	age related macular degeneration	718	1	41	0.281086516	0.281086516	Biomarker|GeneticVariation	BeFree|CTD_human|GAD|LHGDN
VEGFA	DOID:10871	age related macular degeneration	7422	1	76	0.272941583	0.272941583	Biomarker|GeneticVariation	BeFree|CTD_human|GAD|LHGDN
C2	DOID:10871	age related macular degeneration	717	1	24	0.263371037	0.263371037	Biomarker|GeneticVariation	BeFree|CTD_human|GAD|LHGDN
ABCA4	DOID:10871	age related macular degeneration	24	1	75	0.255304587	0.255304587	Biomarker|GeneticVariation	BeFree|CTD_human|GAD|LHGDN
TLR4	DOID:10871	age related macular degeneration	7099	1	7	0.225808942	0.225808942	Biomarker|GeneticVariation	BeFree|CTD_human|GAD|LHGDN
CFI	DOID:10871	age related macular degeneration	3426	1	11	0.223775379	0.223775379	Biomarker|GeneticVariation	BeFree|CTD_human|GAD|LHGDN
ERCC6	DOID:10871	age related macular degeneration	2074	1	3	0.217723721	0.217723721	Biomarker|GeneticVariation	BeFree|CTD_human|GAD|LHGDN
C1QTNF5	DOID:10871	age related macular degeneration	114902	1	6	0.21373459	0.21373459	Biomarker|GeneticVariation	BeFree|CTD_human|GAD
TNFRSF10A	DOID:10871	age related macular degeneration	8797	1	3	0.212884077	0.212884077	Biomarker|GeneticVariation	BeFree|CTD_human|GAD
RPGR	DOID:10871	age related macular degeneration	6103	1	2	0.212806082	0.212806082	Biomarker|GeneticVariation	BeFree|CTD_human|LHGDN
C9	DOID:10871	age related macular degeneration	735	1	2	0.212317068	0.212317068	Biomarker|GeneticVariation	CTD_human|GAD
HTRA1	DOID:10871	age related macular degeneration	5654	1	113	0.124800554	0.124800554	Biomarker|GeneticVariation	BeFree|GAD|LHGDN
SERPINF1	DOID:10871	age related macular degeneration	5176	1	13	0.119543532	0.119543532	Biomarker|GeneticVariation	BeFree|GAD|LHGDN|RGD
CD36	DOID:10871	age related macular degeneration	948	1	2	0.105123149	0.105123149	Biomarker|GeneticVariation	BeFree|GAD|LHGDN|RGD
CFHR3	DOID:10871	age related macular degeneration	10878	1	17	0.020394046	0.020394046	Biomarker|GeneticVariation	BeFree|GAD|LHGDN
PLEKHA1	DOID:10871	age related macular degeneration	59338	1	12	0.019260028	0.019260028	Biomarker|GeneticVariation	BeFree|GAD|LHGDN
CFHR1	DOID:10871	age related macular degeneration	3078	1	17	0.018360483	0.018360483	Biomarker|GeneticVariation	BeFree|GAD|LHGDN
ELOVL4	DOID:10871	age related macular degeneration	6785	1	29	0.017411908	0.017411908	Biomarker|GeneticVariation	BeFree|GAD|LHGDN
PRPH2	DOID:10871	age related macular degeneration	5961	1	29	0.017333913	0.017333913	Biomarker|GeneticVariation	BeFree|GAD|LHGDN
CRP	DOID:10871	age related macular degeneration	1401	1	20	0.017177434	0.017177434	Biomarker|GeneticVariation	BeFree|GAD|LHGDN
HMCN1	DOID:10871	age related macular degeneration	83872	1	13	0.015887426	0.015887426	Biomarker|GeneticVariation	BeFree|GAD|LHGDN
SERPING1	DOID:10871	age related macular degeneration	710	1	11	0.014703888	0.014703888	Biomarker|GeneticVariation	BeFree|GAD
TLR3	DOID:10871	age related macular degeneration	7098	1	8	0.013775379	0.013775379	Biomarker|GeneticVariation	BeFree|GAD|LHGDN
PON1	DOID:10871	age related macular degeneration	5444	1	9	0.013286365	0.013286365	Biomarker|GeneticVariation	BeFree|GAD
SOD2	DOID:10871	age related macular degeneration	6648	1	8	0.01320837	0.01320837	Biomarker|GeneticVariation	BeFree|GAD|LHGDN
EFEMP1	DOID:10871	age related macular degeneration	2202	1	13	0.013081344	0.013081344	Biomarker|GeneticVariation	BeFree|GAD|LHGDN
LIPC	DOID:10871	age related macular degeneration	3990	1	9	0.011536307	0.011536307	Biomarker|GeneticVariation	BeFree|GAD
CX3CR1	DOID:10871	age related macular degeneration	1524	1	16	0.011409281	0.011409281	Biomarker|GeneticVariation	BeFree|GAD|LHGDN
ACE	DOID:10871	age related macular degeneration	1636	1	5	0.010607798	0.010607798	Biomarker|GeneticVariation	BeFree|GAD|LHGDN
ABCA1	DOID:10871	age related macular degeneration	19	1	11	0.009786248	0.009786248	Biomarker|GeneticVariation	BeFree|GAD
TIMP3	DOID:10871	age related macular degeneration	7078	1	12	0.008241699	0.008241699	Biomarker|GeneticVariation	BeFree|GAD|LHGDN
VLDLR	DOID:10871	age related macular degeneration	7436	1	4	0.008007226	0.008007226	Biomarker|GeneticVariation	BeFree|GAD|LHGDN
CCL2	DOID:10871	age related macular degeneration	6347	1	11	0.007958195	0.007958195	Biomarker|GeneticVariation	BeFree|GAD|LHGDN
CETP	DOID:10871	age related macular degeneration	1071	1	6	0.007801716	0.007801716	Biomarker|GeneticVariation	BeFree|GAD
